SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,player_name,season
42000,281,0040000041,"MAY 06, 2001",MIL vs. CHH,W,21,4,8,0.5,0,0,0.0,0,0,0.0,1,6,7,0,1,2,0,3,8,-5,0,281,Scott Williams,2000-01
42000,281,0040000029,"MAY 01, 2001",MIL @ ORL,W,21,3,6,0.5,0,0,0.0,2,4,0.5,3,6,9,1,1,2,0,3,8,3,0,281,Scott Williams,2000-01
42000,281,0040000020,"APR 28, 2001",MIL @ ORL,L,19,4,6,0.667,0,0,0.0,2,4,0.5,1,4,5,1,1,0,1,4,10,-8,0,281,Scott Williams,2000-01
42000,281,0040000013,"APR 25, 2001",MIL vs. ORL,W,21,4,10,0.4,0,0,0.0,0,0,0.0,5,3,8,0,0,0,0,3,8,8,0,281,Scott Williams,2000-01
42000,281,0040000006,"APR 22, 2001",MIL vs. ORL,W,27,8,11,0.727,0,0,0.0,3,4,0.75,7,9,16,0,2,1,4,3,19,18,0,281,Scott Williams,2000-01
42000,1917,0040000059,"MAY 14, 2001",DAL @ SAS,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1917,Wang Zhi-zhi,2000-01
42000,1917,0040000057,"MAY 09, 2001",DAL vs. SAS,L,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,9,0,1917,Wang Zhi-zhi,2000-01
42000,1917,0040000056,"MAY 07, 2001",DAL @ SAS,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,1917,Wang Zhi-zhi,2000-01
42000,1917,0040000055,"MAY 05, 2001",DAL @ SAS,L,9,1,5,0.2,0,1,0.0,1,1,1.0,0,1,1,0,0,1,0,1,3,6,0,1917,Wang Zhi-zhi,2000-01
42000,1917,0040000028,"MAY 01, 2001",DAL vs. UTA,W,5,2,3,0.667,1,1,1.0,2,2,1.0,0,1,1,0,1,0,1,0,7,1,0,1917,Wang Zhi-zhi,2000-01
